Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
05.04.2024.,399000,68,Dubrovačko-neretvanska,Dubrovnik,Plo�e,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/moderan-dvosoban-stan-ocaravajucim-pogledom-otok-lokrum-oglas-40482960
05.04.2024.,450000,90,Dubrovačko-neretvanska,Dubrovnik,Boninovo,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-novogradnji-dubrovnik-oglas-42605618
05.04.2024.,345000,69,Dubrovačko-neretvanska,Dubrovnik,Gru�,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dva-stana-obiteljskoj-kuci-spremni-useljenje-dubrovnik-atraktiv-oglas-42745350
05.04.2024.,167000,52,Dubrovačko-neretvanska,Dubrovnik,Gru�,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivno-stan-renovaciju-prelijepim-pogledom-grusku-uvalu-oglas-42736682
05.04.2024.,395000,85,Dubrovačko-neretvanska,Dubrovnik,Plo�e,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivna-ponuda-trosobni-stan-balkonom-pogledom-more-zlat-oglas-42481483
05.04.2024.,750000,137,Dubrovačko-neretvanska,Dubrovnik,Boninovo,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-atraktivnoj-lokaciji-velikim-vrtom-centru-grada-dubrovnik-oglas-41250483
05.04.2024.,770000,134,Dubrovačko-neretvanska,Dubrovnik,Stari grad,5+ sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-jedinstvenoj-lokaciji-neposredna-blizina-straduna-oglas-41237346
05.04.2024.,291000,57,Dubrovačko-neretvanska,Dubrovnik - Okolica,Zaton,Garsonijera,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/studio-apartman-novogradnji-pogledom-more-blizini-dubrovnika-oglas-41134373
05.04.2024.,570000,159,Dubrovačko-neretvanska,Dubrovnik - Okolica,Ro�at,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/eksluzivno-penthous-pogledom-rijeku-dubrovacku-ponudi-du-oglas-40694556
05.04.2024.,315000,99,Dubrovačko-neretvanska,Slivno,Duba,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A+,2.,2019.,https://www.njuskalo.hr/nekretnine/duba-slivno-penthouse-99.64-m2-terasom-pogledom-more-video-oglas-43352034
