Date,Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
22.01.2020.,330000,72,Zadarska,Zadar,Poluotok,3-sobni,U stambenoj zgradi,Jednoeta�ni,Nenamje�ten,Unknown,5.,Unknown,https://www.njuskalo.hr/nekretnine/zadar-riva-ekskluzivna-lokacija-1-red-mora-72-m2.5-kat-lift-top-oglas-30562523
12.01.2019.,215000,82,Zadarska,Zadar,Jazine,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-prodaja-zadar-82m2-oglas-27435734
23.02.2024.,381000,109,Zadarska,Vir,Vir,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/vir-stan-drugom-katu-krovnom-terasom-109-m2-oglas-42954408
22.02.2024.,175000,59,Zadarska,Zadar,Jazine,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/dvosoban-stan-zadar-jazine-59.1-m2-vrhunska-pozicija-parking-oglas-42950242
22.02.2024.,235000,72,Zadarska,Sveti Filip I Jakov,Sveti Filip i Jakov,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-panoramskim-pogledom-more-sv-filip-jakovu-oglas-42339416
22.02.2024.,899000,177,Zadarska,Sveti Filip I Jakov,Sveti Filip i Jakov,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/penthouse-panoramskim-pogledom-more-otoke-sv-filip-jakovu-oglas-42339420
22.02.2024.,297000,92,Zadarska,Sveti Filip I Jakov,Sveti Filip i Jakov,2-sobni,U stambenoj zgradi,Jednoeta�ni,Potpuno namje�ten,A+,2.,2020.,https://www.njuskalo.hr/nekretnine/prekrasan-stan-pogledom-more-sv-filipu-jakovu-oglas-42339406
22.02.2024.,338767,61,Zadarska,Zadar,Diklo,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,A+,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-zadar-52.00-m2-novogradnja-oglas-39214297
22.02.2024.,256740,85,Zadarska,Sveti Filip I Jakov,Sveti Filip i Jakov,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/sv-filip-jakov-stan-prizemlju-85.58-m2-s1-oglas-42945184
22.02.2024.,213120,71,Zadarska,Sveti Filip I Jakov,Sveti Filip i Jakov,1-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/sv-filip-jakov-apartman-71.04-m2-oglas-42945183
21.02.2024.,250000,44,Zadarska,Sveti Filip I Jakov,Turanj,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Potkrovlje,Unknown,https://www.njuskalo.hr/nekretnine/dvosobni-stan-turanj-44-m2-novogradnja-prvi-red-mora-2-kat-oglas-38452572
21.02.2024.,327000,70,Zadarska,Pako�tane,Pako�tane,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-drugom-katu-blizini-mora-pakostane-c-oglas-42267164
21.02.2024.,211000,68,Zadarska,Vir,Vir,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/vir-stan-novogradnji-prvom-katu-68.30-m2-oglas-42386978
21.02.2024.,219000,72,Zadarska,Pako�tane,Pako�tane,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/palace-posebna-ponuda-dvoetazni-stan-krovnom-terasom-72-m2-oglas-40763481
21.02.2024.,259000,75,Zadarska,Biograd Na Moru,Biograd na Moru,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/novoopremljeni-stan-centru-biograda-moru-74.46-m2-oglas-40473890
20.02.2024.,327000,70,Zadarska,Pako�tane,Pako�tane,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-drugom-katu-blizini-mora-pakostane-d-oglas-42267166
20.02.2024.,407200,107,Zadarska,Zadar,Vi�njik,2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/zadar-visnjik-luksuzan-stan-novogradnji-prizemlje-107m2-oglas-41272592
20.02.2024.,100000,63,Zadarska,Obrovac,Obrovac,4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/kompletno-renoviran-dvosoban-stan-obrovcu-63-m2-oglas-40473707
20.02.2024.,396335,127,Zadarska,Zadar,Melada (Maslina),4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-zadar-106.10-m2-novogradnja-oglas-41472161
20.02.2024.,287520,89,Zadarska,Zadar,Melada (Maslina),3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-zadar-77.28-m2-novogradnja-oglas-41472141
20.02.2024.,361530,108,Zadarska,Zadar - Okolica,Ko�ino,3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/kozino-luksuzni-apartman-108.57m2-95m-mora-parking-oglas-40491027
20.02.2024.,273747,84,Zadarska,Zadar,Melada (Maslina),3-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-zadar-71.66-m2-novogradnja-oglas-41472181
20.02.2024.,213656,62,Zadarska,Zadar,Melada (Maslina),2-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-zadar-50.86-m2-novogradnja-oglas-41472192
20.02.2024.,405695,124,Zadarska,Zadar,Melada (Maslina),4-sobni,U stambenoj zgradi,Jednoeta�ni,Unknown,Unknown,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-zadar-102.40-m2-novogradnja-oglas-41472215
