Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year,Url
105300,54,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,2.,1965.,https://www.njuskalo.hr/nekretnine/stan-bjelovar-54.00-m2-oglas-43127453
219000,124,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/bjelovar-stan-125m2-centar-oglas-41238813
124200,120,Bjelovarsko-bilogorska,Bjelovar,Sjever,4-sobni,U kuæi,Jednoetažni,Unknown,C,Potkrovlje,2014.,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-potkrovlju-pripadci-bjelovar-120-m-oglas-41639017
170000,116,Bjelovarsko-bilogorska,Bjelovar,Centar,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko potkrovlje,2006.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-4-sobni-stan-116.75-m2-101.33-m2-tavan-oglas-42569573
120000,80,Bjelovarsko-bilogorska,Garešnica,Garešnica,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,A,2.,1986.,https://www.njuskalo.hr/nekretnine/stan-garesnica-80.00-m2-oglas-43060321
60000,56,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,2-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,2.,1980.,https://www.njuskalo.hr/nekretnine/stan-grubisno-polje-57-m2-2-kat-strogi-centar-useljiv-oglas-42996556
85000,56,Bjelovarsko-bilogorska,Daruvar,Daruvar,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,2.,1980.,https://www.njuskalo.hr/nekretnine/stan-daruvar-56-m2-2-kat-centar-grada-useljiv-oglas-42947806
140000,64,Bjelovarsko-bilogorska,Bjelovar,Sjever,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,2024.,https://www.njuskalo.hr/nekretnine/stan-bjelovar-64.22-m2-novogradnja-oglas-42864978
160000,98,Bjelovarsko-bilogorska,Bjelovar,Sjever,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,D,2.,1997.,https://www.njuskalo.hr/nekretnine/sjever-novouredeni-stan-oglas-40117448
100000,94,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,1.,1934.,https://www.njuskalo.hr/nekretnine/strogi-centar-trosobni-stan-oglas-23998228
98000,53,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,2.,1996.,https://www.njuskalo.hr/nekretnine/stan-centru-oglas-40234825
36500,82,Bjelovarsko-bilogorska,Šandrovac,Šandrovac,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1979.,https://www.njuskalo.hr/nekretnine/stan-sandrovac-80.00-m2-oglas-40415125
79000,97,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,5.,1987.,https://www.njuskalo.hr/nekretnine/stan-daruvar-97.00-m2-oglas-42564144
294424,113,Bjelovarsko-bilogorska,Bjelovar,Centar,4-sobni,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-kuce-nizu-113.24m2-bjelovar-vidikovac-oglas-42042966
212318,103,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Dvoetažni,Roh-bau,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-kuce-nizu-103.57m2-bjelovar-vidikovac-oglas-42042914
220176,100,Bjelovarsko-bilogorska,Bjelovar,Centar,4-sobni,U stambenoj zgradi,Dvoetažni,Roh-bau,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-kuce-nizu-100.08m2-bjelovar-vidikovac-oglas-42042867
107000,82,Bjelovarsko-bilogorska,Èazma,Èazma,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,1986.,https://www.njuskalo.hr/nekretnine/stan-cazma-82.55-m2-oglas-42403168
85000,50,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U kuæi,Dvoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-centru-bjelovara-50m2-oglas-42389994
244239,143,Bjelovarsko-bilogorska,Daruvar,Daruvar,4-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A+,4.,2023.,https://www.njuskalo.hr/nekretnine/stan-prodaja-daruvar-143.67m2-oglas-39993662
166740,79,Bjelovarsko-bilogorska,Bjelovar,Centar,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A+,3.,2024.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-projekt-frankopanska-oglas-41430965
171000,90,Bjelovarsko-bilogorska,Bjelovar,Sjever,3-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,A,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-oglas-41963799
35000,56,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,2-sobni,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Visoko prizemlje,1984.,https://www.njuskalo.hr/nekretnine/stan-grubisno-polje-56-m2-visoko-prizemlje-parkirno-mjesto-oglas-41142855
62500,41,Bjelovarsko-bilogorska,Daruvar,Daruvar,2-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,2.,1900.,https://www.njuskalo.hr/nekretnine/stan-daruvar-42-m2-centar-2-kat-renoviran-useljiv-oglas-38697167
85000,72,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/grubisno-polje-prodaja-2s-db-stana-72m2-oglas-40187299
75000,95,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,Visoko prizemlje,1930.,https://www.njuskalo.hr/nekretnine/stan-daruvar-95-m2-visoko-prizemlje-garaza-lokacija-oglas-39953740
147000,71,Bjelovarsko-bilogorska,Bjelovar,Sjever,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-prodaja-bjelovar-71.22m2-oglas-39165462
91500,61,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U stambenoj zgradi,Jednoetažni,Djelomièno namješten,Unknown,2.,1900.,https://www.njuskalo.hr/nekretnine/stan-daruvar-61-m2-centar-grada-renoviran-2-kat-potkrovlje-oglas-38697034
157500,78,Bjelovarsko-bilogorska,Bjelovar,Centar,2-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-2s-db-novogradnja-78.75-m2-oglas-37927738
100,61,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2021.,https://www.njuskalo.hr/nekretnine/stan-daruvar-61.00-m2-novogradnja-oglas-34740148
80000,88,Bjelovarsko-bilogorska,Daruvar,Daruvar,3-sobni,U kuæi,Jednoetažni,Djelomièno namješten,Unknown,1.,2010.,https://www.njuskalo.hr/nekretnine/stan-daruvar-kuci-potkrovlje-88-m2-novoureden-odlicna-lokacija-oglas-29943616
60000,54,Bjelovarsko-bilogorska,Daruvar,Daruvar,2-sobni,U kuæi,Jednoetažni,Unknown,Unknown,1.,1950.,https://www.njuskalo.hr/nekretnine/stan-daruvar-54-m2-strogi-centar-grada-1-kat-namjesten-oglas-26772186
90000,200,Bjelovarsko-bilogorska,Daruvar,Daruvar,5+ sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1900.,https://www.njuskalo.hr/nekretnine/stan-daruvar-200-m2-oglas-7235269
120000,91,Bjelovarsko-bilogorska,Daruvar,Daruvar,4-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,2002.,https://www.njuskalo.hr/nekretnine/stan-daruvar-91-m2-novogradnja-4-sobni-oglas-2011200
37000,65,Bjelovarsko-bilogorska,Konèanica,Konèanica,3-sobni,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Prizemlje,1966.,https://www.njuskalo.hr/nekretnine/stan-daruvar-koncanica-65-m2-useljiv-namjesten-garaza-lokacija-oglas-16407347
35000,50,Bjelovarsko-bilogorska,Daruvar,Daruvar,2-sobni,U kuæi,Dvoetažni,Unknown,Unknown,Prizemlje,1955.,https://www.njuskalo.hr/nekretnine/stan-daruvar-useljiv-gradskom-korzu-oglas-14707266
10000,38,Bjelovarsko-bilogorska,Grubišno Polje,Veliki Zdenci,1-sobni,U stambenoj zgradi,Jednoetažni,Unknown,G,Potkrovlje,1960.,https://www.njuskalo.hr/nekretnine/stan-veliki-zdenci-38.46-m2-oglas-13025288
