Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
10.05.2024.,4016,445000,42.624425638327,18.209332368871,130,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,4,U kući,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/moderani-dvoetazan-stan-prekrasnim-pogledom-more-dubrovnik-mlini-oglas-40482958
10.05.2024.,873,395000,42.657362420979,18.077912472994,88,Dubrovačko-neretvanska,Dubrovnik,Lapad,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/prodaje-se-moderni-stan-blizini-plaze-lapadu-dubrovnik-oglas-43554773
10.05.2024.,322,315000,42.947566768263,17.168010829317,79,Dubrovačko-neretvanska,Korčula,Korčula,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2020.,https://www.njuskalo.hr/nekretnine/stan-blizini-centra-korcule-novogradnja-ponudi-oglas-43421584
10.05.2024.,1978,770000,42.642250857924,18.107066198471,134,Dubrovačko-neretvanska,Dubrovnik,Stari grad,5,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-jedinstvenoj-lokaciji-neposredna-blizina-straduna-oglas-41237346
10.05.2024.,924,3600,42.67507639757,18.107755158264,75,Dubrovačko-neretvanska,Dubrovnik - Okolica,Nova Mokošica,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-obiteljskih-stanova-mokosici-pokraj-dubrovnika-rijeka-d-oglas-43507789
10.05.2024.,2684,480000,42.655552054136,18.081216825437,101,Dubrovačko-neretvanska,Dubrovnik,Lapad,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivno-prekrasan-obiteljski-stan-terasom-parkingom-lapadu-oglas-42872256
10.05.2024.,2203,345000,42.657974987454,18.088506459985,69,Dubrovačko-neretvanska,Dubrovnik,Gruž,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/dva-stana-obiteljskoj-kuci-spremni-useljenje-dubrovnik-atraktiv-oglas-42745350
10.05.2024.,5491,167000,42.657149501597,18.092369188907,52,Dubrovačko-neretvanska,Dubrovnik,Gruž,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivno-stan-renovaciju-prelijepim-pogledom-grusku-uvalu-oglas-42736682
10.05.2024.,1057,440000,42.639124071306,18.108492053666,50,Dubrovačko-neretvanska,Dubrovnik,Stari grad,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-nadomak-straduna-stari-grad-dubrovnik-oglas-42646172
10.05.2024.,2820,450000,42.644886571087,18.095459644928,90,Dubrovačko-neretvanska,Dubrovnik,Boninovo,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-novogradnji-dubrovnik-oglas-42605618
10.05.2024.,2018,395000,42.644181454221,18.117611146724,85,Dubrovačko-neretvanska,Dubrovnik,Ploče,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/ekskluzivna-ponuda-trosobni-stan-balkonom-pogledom-more-zlat-oglas-42481483
10.05.2024.,3308,750000,42.645567058027,18.099299892859,137,Dubrovačko-neretvanska,Dubrovnik,Boninovo,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-atraktivnoj-lokaciji-velikim-vrtom-centru-grada-dubrovnik-oglas-41250483
