Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
23.05.2024.,698,165000,Unknown,Unknown,61,Krapinsko-zagorska,Zlatar,Zlatar,2,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-zlatar-atraktivan-dvosoban-stan-loggiom-61.99m2-oglas-42737040
23.05.2024.,618,185000,46.090781927725,16.078648746558,74,Krapinsko-zagorska,Zlatar,Zlatar,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Suteren,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-zlatar-centar-atraktivan-trosoban-stan-vrtom-74.72m2-oglas-42737039
22.05.2024.,800,239000,46.02521078,15.904725715,170,Krapinsko-zagorska,Zabok,Zabok,5,U kući,Dvoetažni,Potpuno namješten,C,1.,1968.,https://www.njuskalo.hr/nekretnine/stan-zabok-150.00-m2-oglas-43220263
22.05.2024.,7493,210000,46.162754325914,15.869472731005,118,Krapinsko-zagorska,Krapina,Centar,5,U kući,Jednoetažni,Unknown,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-kuci-dvoriste-centru-krapine-369.41m2-oglas-37795165
21.05.2024.,806,195000,46.155075714249,15.760195996104,80,Krapinsko-zagorska,Pregrada,Pregrada,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2023.,https://www.njuskalo.hr/nekretnine/luksuzna-oaza-zelenilu-oglas-43012563
21.05.2024.,350,215000,46.154329226905,15.75905290083,85,Krapinsko-zagorska,Pregrada,Pregrada,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2023.,https://www.njuskalo.hr/nekretnine/luksuzna-oaza-zelenilu-oglas-43012560
21.05.2024.,504,285000,46.155306268543,15.759592698241,114,Krapinsko-zagorska,Pregrada,Pregrada,4,U stambenoj zgradi,Jednoetažni,Unknown,A,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/penthouse-zelenilu-nadomak-zagreba-oglas-43012556
21.05.2024.,5162,161500,45.97744116291994,15.93547132883162,85,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,3,U stambenoj zgradi,Višeetažni,Djelomično namješten,Unknown,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-52.00-m2-oglas-41384497
20.05.2024.,1720,76526,46.054754314122,16.176735269962,46,Krapinsko-zagorska,Konjščina,Konjščina,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2007.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-konjscini-oglas-42445879
20.05.2024.,10156,130000,46.025295603368,15.905574799632,150,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,1.,1965.,https://www.njuskalo.hr/nekretnine/stan-uzem-centru-zaboka-oglas-39127445
20.05.2024.,17745,70000,45.992482012596,15.914758443832,32,Krapinsko-zagorska,Oroslavje,Oroslavje,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,2007.,https://www.njuskalo.hr/nekretnine/stan-oroslavje-andrije-gredicaka-3h-32.00-m2-oglas-33954524
17.05.2024.,460,178000,46.017430495106,15.835678030306,82,Krapinsko-zagorska,Veliko Trgovišće,Družilovec,4,U kući,Jednoetažni,Unknown,A,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-veliko-trgovisce-druzilovec-84-m2-oglas-43565536
17.05.2024.,241,70000,46.079131310194,15.748052594046,63,Krapinsko-zagorska,Tuhelj,Tuhelj,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,1956.,https://www.njuskalo.hr/nekretnine/stan-blizini-skole-tuhlju-oglas-43750676
16.05.2024.,4175,188000,46.154550627822,15.763346921167,99,Krapinsko-zagorska,Pregrada,Pregrada,3,U stambenoj zgradi,Jednoetažni,Unknown,A+,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-pregrada-103.00-m2-novogradnja-oglas-39183512
15.05.2024.,829,145000,46.02566283538,15.906753657447,61,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-zabok-dvosobni-stan-oglas-42699857
15.05.2024.,677,149000,46.0251979328,15.904852135611,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-zabok-trosobni-stan-oglas-42699844
15.05.2024.,469,149000,46.026999262412,15.904047616629,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/novogradnja-zabok-oglas-42653952
15.05.2024.,1744,220000,46.082394675159,15.911281259378,160,Krapinsko-zagorska,Sveti Križ Začretje,Sveti Križ Začretje,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,1930.,https://www.njuskalo.hr/nekretnine/sveti-kriz-zacretje-stan-prodaju-oglas-40657945
14.05.2024.,2761,88435,45.99822379768463,15.883895150558997,116,Krapinsko-zagorska,Oroslavje,Mokrice,4,U kući,Jednoetažni,Unknown,Unknown,Prizemlje,2007.,https://www.njuskalo.hr/nekretnine/stan-mokrice-116.00-m2-oglas-41399732
13.05.2024.,581,68000,46.076250840583,15.680211596473,69,Krapinsko-zagorska,Kumrovec,Kumrovec,3,U stambenoj zgradi,Jednoetažni,Unknown,C,2.,1974.,https://www.njuskalo.hr/nekretnine/obiteljski-3s-stan-srcu-kumrovca-oglas-43718277
09.05.2024.,3560,250000,46.028345579019,15.905344372092,96,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,5.,2020.,https://www.njuskalo.hr/nekretnine/penthouse-zabok-96.00-m2-novogradnja-gpm-spremiste-oglas-42649847
09.05.2024.,415,105000,46.09097869982106,15.836051430598776,49,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,1,U stambenoj zgradi,Jednoetažni,Potpuno namješten,C,Visoko prizemlje,2010.,https://www.njuskalo.hr/nekretnine/1-sobni-stan-49-m2-krapinske-toplice-oglas-43694368
08.05.2024.,824,106000,46.094694272911,15.842676209871,45,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,2014.,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-centar-45-m2-oglas-43467031
08.05.2024.,1328,2900,46.02904243222996,15.90747356414795,80,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,1.,1978.,https://www.njuskalo.hr/nekretnine/stan-zabok-stanovi-prodaji-67-163-m2-centar-5-min-2-4-sobni-oglas-43268910
08.05.2024.,575,475223,46.02904243222996,15.90747356414795,163,Krapinsko-zagorska,Zabok,Zabok,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,2.,1978.,https://www.njuskalo.hr/nekretnine/s4-stan-zabok-163.00-m2-loggia-balkon-2-vpm-potkrovlje-razno-oglas-43268718
08.05.2024.,497,246065,46.030133694512,15.90744137764,84,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Nenamješten,Unknown,Prizemlje,1978.,https://www.njuskalo.hr/nekretnine/1-stan-zabok-75.00-m2-3-sobni-terasa-vrt-vpm-oglas-43260191
08.05.2024.,916,185000,46.08005,15.90612,97,Krapinsko-zagorska,Sveti Križ Začretje,Sveti Križ Začretje,5,U stambenoj zgradi,Jednoetažni,Unknown,E,1.,1930.,https://www.njuskalo.hr/nekretnine/stan-97m2-renovirano-centar-sv-kriz-zacretje-oglas-42745318
08.05.2024.,830,149000,46.02459,15.90173,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-62.12m2-centar-zaboka-novogradnja-dostupan-oglas-42283720
08.05.2024.,667,147000,46.02459,15.90173,61,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Unknown,B,4.,2023.,https://www.njuskalo.hr/nekretnine/stan-61.28m2-centar-zaboka-novogradnja-dostupno-oglas-42283719
08.05.2024.,4035,88000,45.97856,15.93456,37,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,D,4.,1975.,https://www.njuskalo.hr/nekretnine/prekrasan-novoadaptirani-stan-37.71m2-st-toplice-oglas-41295980
08.05.2024.,8073,59900,45.99624,15.91435,36,Krapinsko-zagorska,Oroslavje,Oroslavje,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,B,Suteren,2020.,https://www.njuskalo.hr/nekretnine/stan-novogradnja-36m2-oroslavje-oglas-40296837
08.05.2024.,939,201000,46.02459,15.90173,90,Krapinsko-zagorska,Zabok,Zabok,4,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-90.51m2-centar-zaboka-novogradnja-dostupan-oglas-42283718
08.05.2024.,592,151000,46.02459,15.90173,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,B,4.,2023.,https://www.njuskalo.hr/nekretnine/stan-62.12m2-centar-zaboka-novogradnja-dostupan-oglas-42283717
08.05.2024.,1019,145000,46.02459,15.90173,61,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-61.28m2-centar-zaboka-novogradnja-dostupno-oglas-42283716
08.05.2024.,1440,145000,46.02459,15.90173,61,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2023.,https://www.njuskalo.hr/nekretnine/stanovi-61m2-90m2-centar-zaboka-novogradnja-oglas-42283714
08.05.2024.,1155,161500,45.97697,16.01762,86,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-drugi-kat-87m2-novogradnja-donja-stubica-oglas-41784157
08.05.2024.,757,161500,45.97697,16.01762,86,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,B,Prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-prizemlje-87m2-novogradnja-donja-stubica-oglas-41784156
08.05.2024.,1006,161500,45.97697,16.01762,86,Krapinsko-zagorska,Donja Stubica,Donja Stubica,3,U stambenoj zgradi,Jednoetažni,Unknown,B,1.,2023.,https://www.njuskalo.hr/nekretnine/stan-prvi-kat-87m2-novogradnja-donja-stubica-oglas-41784155
08.05.2024.,4153,75000,46.04925,16.08437,63,Krapinsko-zagorska,Zlatar-Bistrica,Zlatar-Bistrica,2,U stambenoj zgradi,Jednoetažni,Potpuno namješten,F,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-zlatar-bistrica-63.00-m2-prodaja-oglas-41631839
08.05.2024.,474,169200,46.09278,16.077,71,Krapinsko-zagorska,Zlatar,Zlatar,3,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-centru-zlatara-stan-71.40m2-oglas-42979469
08.05.2024.,455,153900,46.09278,16.077,74,Krapinsko-zagorska,Zlatar,Zlatar,2,U stambenoj zgradi,Jednoetažni,Unknown,A,Suteren,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-centru-zlatara-stan-74.72m2-oglas-42962628
08.05.2024.,546,146900,46.09278,16.077,61,Krapinsko-zagorska,Zlatar,Zlatar,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/novogradnja-centru-zlatara-stan-61.99m2-oglas-42962625
08.05.2024.,1189,149000,46.02459,15.90173,62,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Jednoetažni,Unknown,B,2.,2023.,https://www.njuskalo.hr/nekretnine/stan-62.12m2-centar-zaboka-novogradnja-dostupan-oglas-42283722
06.05.2024.,6538,130000,46.023070339378,15.905716605091,150,Krapinsko-zagorska,Zabok,Zabok,3,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/stan-centar-zaboka-dvoristem-spremistem-parkirnim-mjestom-oglas-41989061
05.05.2024.,8794,65000,46.090717,15.837908,43,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stanovi-adresi-zagrebacka-ul-4-krapinske-toplice-oglas-39480704
04.05.2024.,2860,71000,46.054840230182,16.179468482252,57,Krapinsko-zagorska,Konjščina,Konjščina,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/konjscina-stan-57-m2-1-kat-oglas-41729750
03.05.2024.,4130,1990,45.970676,15.926785,109,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,4,U stambenoj zgradi,Dvoetažni,Unknown,A+,Prizemlje,2024.,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-109.00-m2-novogradnja-oglas-38895519
03.05.2024.,649,145000,46.094536,16.079391,104,Krapinsko-zagorska,Zlatar,Zlatar,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Visoko prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-zlatar-104.00-m2-novogradnja-oglas-41579528
30.04.2024.,4604,130000,46.025067756664,15.904890299425,150,Krapinsko-zagorska,Zabok,Zabok,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,1965.,https://www.njuskalo.hr/nekretnine/zagorje-zabok-2s-stan-balkonom-oglas-39981212
30.04.2024.,2558,210000,46.093209701182616,15.832030320174823,84,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,2,U kući,Jednoetažni,Unknown,B,Suteren,Unknown,https://www.njuskalo.hr/nekretnine/krapinske-toplice-centar-novogradnja-stan-84m2-terasa-dvoriste-oglas-39802898
28.04.2024.,5739,285000,46.166549039656,15.75713799006,139,Krapinsko-zagorska,Pregrada,Vrhi Pregradski,3,U stambenoj zgradi,Jednoetažni,Nenamješten,A,2.,2024.,https://www.njuskalo.hr/nekretnine/vrhovi-pregrade-resonant-living-oglas-38890394
28.04.2024.,4013,195000,46.166653123566,15.757221789131,103,Krapinsko-zagorska,Pregrada,Pregrada,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/stan-pregrada-72.00-m2-novogradnja-oglas-38977693
28.04.2024.,3611,215000,46.166653123566,15.757221789131,107,Krapinsko-zagorska,Pregrada,Pregrada,2,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,2024.,https://www.njuskalo.hr/nekretnine/vrhovi-pregrade-stan-87m2-oglas-38977305
03.04.2024.,1474,159000,46.018913,15.871991,72,Krapinsko-zagorska,Zabok,Pavlovec Zabočki,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,B,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-zaboku-oglas-43314887
03.04.2024.,2370,145000,46.09453583652792,16.0793924331665,140,Krapinsko-zagorska,Zlatar,Zlatar,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,Visoko prizemlje,2023.,https://www.njuskalo.hr/nekretnine/stan-zlatar-140.00-m2-novogradnja-oglas-41590983
