Date,Views,Price,Latitude,Longitude,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors,Furnishing,Energy class,Floor,Year of construction,Url
16.05.2024.,353,210500,45.47380563327,15.498662288378,70,Karlovačka,Duga Resa,Gornje Mrzlo Polje Mrežničko,2,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/karlovac-okolica-stan-urbanoj-vili-1s-db-64-m2-oglas-42646520
16.05.2024.,366,281500,45.473037276444,15.496119396538,93,Karlovačka,Duga Resa,Gornje Mrzlo Polje Mrežničko,3,U stambenoj zgradi,Jednoetažni,Unknown,A,1.,Unknown,https://www.njuskalo.hr/nekretnine/okolica-karlovca-luksuzan-stan-urbanoj-vili-2s-db-oglas-42646518
16.05.2024.,315,256000,45.472833099666,15.499979932904,85,Karlovačka,Duga Resa,Gornje Mrzlo Polje Mrežničko,2,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/luksuzni-stan-prostranom-lodom-predgradu-karlovca-oglas-42646517
15.05.2024.,3457,105000,45.495354394288,15.550273418632,51,Karlovačka,Karlovac,Zvijezda,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,1964.,https://www.njuskalo.hr/nekretnine/balkona-gledajte-camce-jednojnod-4-rijeke-oglas-42935580
15.05.2024.,2131,220000,45.503124747392,15.53284884857,128,Karlovačka,Karlovac,Drežnik,4,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Visoko prizemlje,1905.,https://www.njuskalo.hr/nekretnine/stan-villi-karlovcu-oglas-42584602
15.05.2024.,11980,51000,45.262660037195,15.206883532751,70,Karlovačka,Ogulin,Ogulin,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,1.,Unknown,https://www.njuskalo.hr/nekretnine/ogulin-stan-2s-db-70-m-oglas-34329417
15.05.2024.,4633,60000,45.264859724942,15.209489276121,70,Karlovačka,Ogulin,Ogulin,2,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,Unknown,Unknown,https://www.njuskalo.hr/nekretnine/stan-centru-ogulina-oglas-41386664
15.05.2024.,4958,130000,45.490710426151,15.553778019437,103,Karlovačka,Karlovac,Zvijezda,4,U stambenoj zgradi,Dvoetažni,Unknown,Unknown,3.,Unknown,https://www.njuskalo.hr/nekretnine/stan-strogom-centru-karlovca-oglas-40534021
14.05.2024.,1350,179000,45.490303706422,15.553455790883,105,Karlovačka,Karlovac,Zvijezda,3,U stambenoj zgradi,Jednoetažni,Potpuno namješten,Unknown,2.,Unknown,https://www.njuskalo.hr/nekretnine/centar-ekskluzivan-vrhunski-novoureden-3-stan-105-m2-2-kat-pvc-oglas-43731891
14.05.2024.,1280,135252,45.477235019286,15.542733962658,53,Karlovačka,Karlovac,Švarča,3,U stambenoj zgradi,Jednoetažni,Unknown,A,Prizemlje,Unknown,https://www.njuskalo.hr/nekretnine/stan-karlovac-53.04-m2-novogradnja-oglas-42981097
14.05.2024.,2425,108247,45.477235019286,15.542733962658,42,Karlovačka,Karlovac,Švarča,2,U stambenoj zgradi,Jednoetažni,Unknown,A,2.,Unknown,https://www.njuskalo.hr/nekretnine/stan-karlovac-42.45-m2-novogradnja-oglas-42981305
14.05.2024.,6577,129000,45.482504357034,15.551633433543,72,Karlovačka,Karlovac,Grabrik,3,U stambenoj zgradi,Jednoetažni,Unknown,Unknown,4.,Unknown,https://www.njuskalo.hr/nekretnine/72m2-trosoban-stan-oglas-40657940
