Price,Living area,County,City,Neighborhood,Number of rooms,Type of flat,Number of floors
362661,71,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
306000,88,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
300000,65,Splitsko-dalmatinska,Split - Okolica,Stobreč,3-sobni,U stambenoj zgradi,Jednoetažni
1,70,Splitsko-dalmatinska,Split,Bačvice,2-sobni,U kući,Jednoetažni
177232,40,Splitsko-dalmatinska,Podstrana,Podstrana,1-sobni,U stambenoj zgradi,Jednoetažni
530000,80,Splitsko-dalmatinska,Split,Grad,3-sobni,U stambenoj zgradi,Jednoetažni
195000,68,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U stambenoj zgradi,Jednoetažni
260000,60,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U stambenoj zgradi,Dvoetažni
165000,64,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U stambenoj zgradi,Jednoetažni
169000,68,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U stambenoj zgradi,Jednoetažni
240000,50,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U stambenoj zgradi,Jednoetažni
325000,85,Splitsko-dalmatinska,Omiš,Omiš,3-sobni,U stambenoj zgradi,Jednoetažni
205000,80,Splitsko-dalmatinska,Kaštela,Kaštel Stari,2-sobni,U stambenoj zgradi,Jednoetažni
174400,50,Splitsko-dalmatinska,Solin,Japirko,2-sobni,U stambenoj zgradi,Jednoetažni
243000,74,Splitsko-dalmatinska,Solin,Japirko,3-sobni,U stambenoj zgradi,Jednoetažni
163200,56,Splitsko-dalmatinska,Solin,Mezanovci,2-sobni,U stambenoj zgradi,Jednoetažni
185000,54,Splitsko-dalmatinska,Podstrana,Strožanac,2-sobni,U stambenoj zgradi,Jednoetažni
629000,76,Splitsko-dalmatinska,Split,Grad,2-sobni,U stambenoj zgradi,Jednoetažni
375000,114,Splitsko-dalmatinska,Seget,Seget Donji,3-sobni,U stambenoj zgradi,Jednoetažni
164000,54,Splitsko-dalmatinska,Seget,Seget Donji,2-sobni,U stambenoj zgradi,Jednoetažni
267600,81,Splitsko-dalmatinska,Split,Sirobuja,3-sobni,U stambenoj zgradi,Jednoetažni
292260,88,Splitsko-dalmatinska,Split,Sirobuja,3-sobni,U stambenoj zgradi,Jednoetažni
520000,102,Splitsko-dalmatinska,Trogir,Trogir,2-sobni,U stambenoj zgradi,Jednoetažni
3800,1,Splitsko-dalmatinska,Split,Dragovode,1-sobni,U stambenoj zgradi,Jednoetažni
390000,128,Splitsko-dalmatinska,Supetar,Supetar,3-sobni,U stambenoj zgradi,Dvoetažni
1,145,Splitsko-dalmatinska,Split,Grad,4-sobni,U stambenoj zgradi,Jednoetažni
3950,1,Splitsko-dalmatinska,Split,Dragovode,1-sobni,U stambenoj zgradi,Jednoetažni
3900,1,Splitsko-dalmatinska,Split,Dragovode,1-sobni,U stambenoj zgradi,Jednoetažni
3850,1,Splitsko-dalmatinska,Split,Dragovode,1-sobni,U stambenoj zgradi,Jednoetažni
350000,90,Splitsko-dalmatinska,Split,Varoš,5+ sobni,U kući,Dvoetažni
395000,91,Splitsko-dalmatinska,Split,Sućidar,2-sobni,U stambenoj zgradi,Jednoetažni
366000,61,Splitsko-dalmatinska,Tučepi,Tučepi,2-sobni,U stambenoj zgradi,Jednoetažni
320000,65,Splitsko-dalmatinska,Split,Bačvice,2-sobni,U stambenoj zgradi,Jednoetažni
252071,60,Splitsko-dalmatinska,Split,Žnjan,2-sobni,U stambenoj zgradi,Jednoetažni
350000,67,Splitsko-dalmatinska,Split,Žnjan,2-sobni,U stambenoj zgradi,Jednoetažni
97000,34,Splitsko-dalmatinska,Selca,Sumartin,1-sobni,U stambenoj zgradi,Dvoetažni
220500,63,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
201425,57,Splitsko-dalmatinska,Makarska,Makarska,1-sobni,U stambenoj zgradi,Jednoetažni
219470,64,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
201600,63,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
194990,62,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
207900,63,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
193200,55,Splitsko-dalmatinska,Makarska,Makarska,1-sobni,U stambenoj zgradi,Jednoetažni
213015,64,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
187680,55,Splitsko-dalmatinska,Makarska,Makarska,1-sobni,U stambenoj zgradi,Jednoetažni
228690,69,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
242550,69,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
225925,64,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
261800,74,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
264840,74,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
182160,55,Splitsko-dalmatinska,Makarska,Makarska,1-sobni,U stambenoj zgradi,Jednoetažni
200880,64,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
239360,74,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
206560,64,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
165120,51,Splitsko-dalmatinska,Makarska,Makarska,1-sobni,U stambenoj zgradi,Jednoetažni
226145,72,Splitsko-dalmatinska,Makarska,Makarska,2-sobni,U stambenoj zgradi,Jednoetažni
